iter	Logloss
0	0.5712835639
1	0.4799672162
2	0.4109093209
3	0.3589902692
4	0.3171714896
5	0.288964527
6	0.26283742
7	0.2438023322
8	0.2323217391
9	0.2234792423
10	0.2164808898
11	0.2109906179
12	0.2047463872
13	0.2009367055
14	0.1982627665
15	0.193930473
16	0.1896252475
17	0.1865096859
18	0.1841467579
19	0.1835291572
20	0.1830929551
21	0.1805430437
22	0.180217445
23	0.1782066462
24	0.1769279654
25	0.1754529582
26	0.1753131592
27	0.1750236025
28	0.1723680278
29	0.1714165805
30	0.1713924868
31	0.1713847429
32	0.1698124198
33	0.1689720863
34	0.1687532722
35	0.1673193995
36	0.1655631336
37	0.164422376
38	0.1639221209
39	0.1626015046
40	0.1615396803
41	0.1602731172
42	0.1594602999
43	0.1587563483
44	0.1575513633
45	0.1571987348
46	0.1571331773
47	0.156554889
48	0.1554245561
49	0.1554127828
50	0.1547266301
51	0.1541475384
52	0.1541195224
53	0.1535912841
54	0.1529691957
55	0.1524970598
56	0.1510209128
57	0.1502838549
58	0.1502319132
59	0.150115019
60	0.1501067431
61	0.1487894507
62	0.1477039067
63	0.1476428604
64	0.1475926376
65	0.1471831477
66	0.1467191466
67	0.1466455562
68	0.1464727658
69	0.1458758801
70	0.1456939766
71	0.1456895193
72	0.1456838632
73	0.1456730515
74	0.1454484717
75	0.1444028779
76	0.1443981877
77	0.1436133985
78	0.1427433138
79	0.1427291063
80	0.1423043713
81	0.1420648911
82	0.1416286709
83	0.1415509445
84	0.1410703357
85	0.1410667419
86	0.1408616723
87	0.1408558703
88	0.1402043265
89	0.139418348
90	0.1391017114
91	0.1388672807
92	0.1388501352
93	0.138175387
94	0.137980698
95	0.1376748014
96	0.1368542766
97	0.1363986156
98	0.135901609
99	0.1354871533
100	0.1352326557
101	0.1350635144
102	0.1346748413
103	0.1341241902
104	0.13376709
105	0.1337239543
106	0.1336004878
107	0.1331023953
108	0.1328870104
109	0.1328786783
110	0.1327556711
111	0.1325300929
112	0.1320487204
113	0.1316907165
114	0.1311676463
115	0.1304922642
116	0.1299320435
117	0.1293951394
118	0.1292328412
119	0.1286934843
120	0.1282862037
121	0.1279360487
122	0.1273814823
123	0.127031328
124	0.1267841727
125	0.1263502258
126	0.1260301138
127	0.1258108568
128	0.1255564387
129	0.1252002146
130	0.1249593624
131	0.1248122176
132	0.1241555358
133	0.1239093934
134	0.1235030953
135	0.1231955589
136	0.1230178109
137	0.1226450605
138	0.1224777003
139	0.1221225799
140	0.1218507681
141	0.1216391447
142	0.1215077993
143	0.1212191598
144	0.120859861
145	0.1207097306
146	0.120519345
147	0.1201694049
148	0.119991803
149	0.1197937492
150	0.1196956437
151	0.119581779
152	0.1193861583
153	0.1192391018
154	0.1190839198
155	0.1189264385
156	0.1186747837
157	0.118468365
158	0.1182129123
159	0.1180232789
160	0.1178577706
161	0.1177728077
162	0.1176509204
163	0.1173219541
164	0.1171410589
165	0.1168889503
166	0.1168029582
167	0.1165755964
168	0.1164538688
169	0.1162959633
170	0.116119592
171	0.1160515485
172	0.1159626119
173	0.1158469749
174	0.1157660007
175	0.1156837729
176	0.1155975325
177	0.1154944338
178	0.1154301154
179	0.1153057592
180	0.1152187156
181	0.1151568845
182	0.1150973293
183	0.115044991
184	0.1149381331
185	0.1148700076
186	0.1148016336
187	0.1147036096
188	0.1146580681
189	0.1145592698
190	0.1144999106
191	0.1144605978
192	0.1143414947
193	0.1142445276
194	0.1141788847
195	0.1141066088
196	0.1140533361
197	0.1139952097
198	0.1139360806
199	0.1138199424
200	0.1137456551
201	0.1136615499
202	0.1134909504
203	0.1133956473
204	0.113343951
205	0.1132413803
206	0.1131087214
207	0.1130568552
208	0.1128844349
209	0.1128029996
210	0.1126188822
211	0.1125717276
212	0.1124570228
213	0.1123658484
214	0.1123019924
215	0.1122202383
216	0.1121300644
217	0.11207599
218	0.1119806855
219	0.1118830177
220	0.1118410042
221	0.1117899338
222	0.1117333721
223	0.1115848429
224	0.1115527747
225	0.1114584097
226	0.1113887173
227	0.1113476255
228	0.1113000384
229	0.1112595199
230	0.1111985802
231	0.1111460397
232	0.1110917377
233	0.1110579638
234	0.1110186877
235	0.1109753109
236	0.110937024
237	0.1108699871
238	0.1108137843
239	0.1107697496
240	0.110699966
241	0.1106642585
242	0.1106460186
243	0.1105884437
244	0.1105172248
245	0.1104803417
246	0.1104125841
247	0.110366538
248	0.1103026966
249	0.1101980888
250	0.1101124659
251	0.1100465022
252	0.109957121
253	0.1099033895
254	0.1098249978
255	0.1097843433
256	0.109737731
257	0.1096369829
258	0.1096140912
259	0.1095440096
260	0.1094735117
261	0.1094227057
262	0.1093957886
263	0.1093419195
264	0.1093240218
265	0.1093007712
266	0.1092435265
267	0.1092162541
268	0.1091948587
269	0.1091784254
270	0.1091317953
271	0.1091056184
272	0.1090378834
273	0.1090076056
274	0.1089653364
275	0.1089223339
276	0.1088664161
277	0.1088152154
278	0.1087863277
279	0.1087564888
280	0.1087237807
281	0.1086927658
282	0.1086454074
283	0.108605081
284	0.1085703627
285	0.1085452533
286	0.1085128511
287	0.1084636446
288	0.1084200651
289	0.1083833745
290	0.1083600288
291	0.1083196678
292	0.1082946015
293	0.1082795635
294	0.1082386628
295	0.1081832658
296	0.1081661116
297	0.1081537549
298	0.1081395349
299	0.1081128475
