iter	Passed	Remaining
175	4612	21597
176	4636	21559
177	4668	21559
178	4706	21587
179	4745	21619
180	4770	21584
181	4795	21551
182	4820	21522
183	4844	21485
184	4868	21446
185	4894	21418
186	4916	21375
187	4939	21336
188	4963	21300
189	4986	21258
190	5009	21219
191	5031	21175
192	5066	21184
193	5095	21171
194	5118	21131
195	5142	21094
196	5164	21052
197	5186	21009
198	5208	20963
199	5233	20935
200	5255	20892
201	5280	20859
202	5301	20815
203	5324	20776
204	5346	20733
205	5417	20879
206	5484	21011
207	5549	21130
208	5598	21188
209	5625	21163
210	5651	21133
211	5677	21102
212	5700	21060
213	5723	21022
214	5751	20997
215	5786	21003
216	5810	20966
217	5834	20930
218	5861	20901
219	5890	20883
220	5914	20848
221	5940	20816
222	5964	20781
223	5989	20748
224	6015	20720
225	6037	20675
226	6058	20632
227	6082	20594
228	6105	20555
229	6127	20512
230	6152	20480
231	6173	20437
232	6195	20394
233	6217	20352
234	6238	20309
235	6262	20272
236	6288	20245
237	6310	20205
238	6372	20291
239	6455	20441
240	6482	20415
241	6529	20452
242	6558	20430
243	6589	20415
244	6618	20394
245	6640	20354
246	6666	20323
247	6690	20286
248	6715	20253
249	6741	20223
250	6768	20197
251	6794	20166
252	6819	20135
253	6842	20097
254	6867	20064
255	6895	20038
256	6917	19999
257	6939	19956
258	6961	19917
259	6982	19873
260	7003	19831
261	7027	19796
262	7050	19757
263	7074	19721
264	7098	19688
265	7121	19651
266	7144	19613
267	7169	19583
268	7192	19544
269	7213	19504
270	7235	19463
271	7256	19421
272	7279	19385
273	7305	19356
274	7329	19322
275	7350	19282
276	7382	19269
277	7405	19234
278	7427	19193
279	7454	19169
280	7480	19139
281	7507	19116
282	7536	19094
283	7562	19066
284	7590	19043
285	7616	19013
286	7642	18987
287	7668	18958
288	7692	18924
289	7717	18893
290	7743	18866
291	7766	18831
292	7791	18800
293	7815	18766
294	7840	18737
295	7870	18717
296	7915	18736
297	7941	18708
298	7967	18678
299	7991	18647
300	8022	18630
301	8047	18600
302	8076	18578
303	8098	18542
304	8122	18507
305	8147	18479
306	8170	18443
307	8192	18407
308	8216	18374
309	8238	18336
310	8260	18300
311	8286	18272
312	8310	18240
313	8333	18205
314	8355	18169
315	8377	18133
316	8400	18099
317	8424	18068
318	8450	18039
319	8475	18011
320	8504	17989
321	8530	17962
322	8559	17940
323	8583	17908
324	8608	17879
325	8634	17852
326	8671	17846
327	8698	17821
328	8723	17791
329	8748	17761
330	8774	17733
331	8797	17701
332	8820	17668
333	8848	17644
334	8873	17614
335	8896	17581
336	8920	17549
337	8944	17518
338	8967	17484
339	8991	17453
340	9014	17421
341	9037	17388
342	9061	17357
343	9087	17329
344	9116	17309
345	9142	17280
346	9180	17275
347	9205	17246
348	9228	17213
349	9256	17189
350	9279	17157
351	9303	17127
352	9326	17095
353	9350	17063
354	9374	17032
355	9402	17009
356	9428	16981
357	9453	16952
358	9478	16923
359	9503	16894
360	9532	16873
361	9559	16847
362	9587	16824
363	9614	16799
364	9639	16769
365	9666	16743
366	9691	16715
367	9714	16683
368	9739	16654
369	9763	16623
370	9787	16593
371	9815	16569
372	9839	16540
373	9875	16530
374	9900	16500
375	9925	16471
376	9948	16440
377	9974	16412
378	9996	16380
379	10019	16348
380	10042	16314
381	10064	16281
382	10085	16247
383	10109	16217
384	10132	16185
385	10154	16152
386	10239	16219
387	10302	16250
388	10333	16230
389	10371	16221
390	10395	16192
391	10418	16159
392	10445	16133
393	10473	16108
394	10501	16084
395	10529	16060
396	10553	16030
397	10578	16000
398	10601	15969
399	10625	15938
400	10651	15910
401	10678	15884
402	10703	15855
403	10728	15826
404	10753	15797
405	10776	15767
406	10804	15741
407	10828	15712
408	10852	15682
409	10875	15650
410	10898	15618
411	10920	15585
412	10946	15558
413	10968	15525
414	10991	15494
415	11015	15463
416	11038	15433
417	11061	15401
418	11088	15375
419	11110	15342
420	11131	15309
421	11154	15277
422	11176	15245
423	11198	15213
424	11224	15185
425	11255	15166
426	11278	15135
427	11302	15104
428	11325	15074
429	11349	15044
430	11375	15017
431	11399	14988
432	11432	14970
433	11466	14953
434	11495	14930
435	11521	14904
436	11548	14878
437	11573	14850
438	11599	14822
439	11627	14798
440	11654	14773
441	11679	14744
442	11702	14713
443	11727	14685
444	11751	14656
445	11796	14652
446	11826	14630
447	11855	14607
448	11881	14580
449	11910	14556
450	11936	14530
451	11959	14499
452	11984	14470
453	12007	14440
454	12032	14412
455	12061	14389
456	12087	14362
457	12111	14332
458	12136	14304
459	12160	14275
460	12187	14249
461	12212	14221
462	12242	14199
463	12283	14190
464	12313	14167
465	12340	14140
466	12361	14108
467	12383	14077
468	12405	14044
469	12431	14018
470	12457	13991
471	12486	13967
472	12513	13941
473	12552	13929
474	12576	13900
475	12603	13873
476	12628	13846
477	12652	13816
478	12677	13789
479	12700	13759
480	12724	13729
481	12751	13704
482	12776	13675
483	12801	13647
484	12824	13617
485	12851	13591
486	12883	13571
487	12913	13548
488	12937	13519
489	12961	13490
490	12985	13461
491	13010	13433
492	13034	13404
493	13074	13392
494	13097	13362
495	13120	13331
496	13142	13301
497	13163	13269
498	13186	13238
499	13210	13210
500	13233	13180
501	13255	13150
502	13278	13120
503	13300	13089
504	13325	13061
505	13351	13035
506	13373	13004
507	13395	12973
508	13423	12949
509	13451	12923
510	13484	12904
511	13512	12878
512	13538	12852
513	13562	12823
514	13585	12794
515	13611	12767
516	13637	12740
517	13661	12711
518	13686	12684
519	13709	12655
520	13748	12640
521	13777	12616
522	13802	12588
523	13825	12559
524	13848	12529
525	13870	12499
526	13893	12470
527	13919	12443
528	13942	12413
529	13964	12383
530	13986	12353
531	14008	12323
532	14029	12292
533	14057	12267
534	14079	12237
535	14102	12208
536	14124	12177
537	14145	12147
538	14167	12117
539	14191	12089
540	14213	12058
541	14236	12030
542	14337	12067
543	14385	12058
544	14434	12050
545	14466	12028
546	14492	12001
547	14519	11975
548	14542	11946
549	14566	11917
550	14590	11889
551	14616	11862
552	14639	11833
553	14663	11804
554	14686	11775
555	14712	11748
556	14739	11723
557	14763	11694
558	14788	11666
559	14812	11638
560	14836	11609
561	14859	11581
562	14884	11553
563	14907	11524
564	14928	11493
565	14953	11466
566	14975	11436
567	14998	11407
568	15022	11379
569	15044	11349
570	15066	11319
571	15089	11290
572	15111	11261
573	15133	11231
574	15157	11203
575	15179	11173
576	15202	11144
577	15224	11115
578	15255	11092
579	15277	11063
580	15302	11035
581	15325	11006
582	15347	10977
583	15369	10948
584	15395	10921
585	15421	10894
586	15454	10873
587	15480	10847
588	15507	10820
589	15533	10794
590	15559	10768
591	15589	10743
592	15613	10716
593	15639	10689
594	15663	10661
595	15687	10633
596	15713	10607
597	15737	10579
598	15761	10551
599	15784	10522
600	15808	10495
601	15830	10466
602	15856	10439
603	15893	10420
604	15915	10391
605	15940	10364
606	15967	10338
607	15995	10312
608	16020	10285
609	16047	10259
610	16071	10232
611	16095	10204
612	16123	10179
613	16150	10153
614	16174	10125
615	16199	10098
616	16222	10069
617	16246	10042
618	16273	10016
619	16295	9987
620	16317	9958
621	16340	9930
622	16361	9901
623	16387	9874
624	16415	9849
625	16443	9823
626	16472	9799
627	16498	9772
628	16524	9746
629	16552	9721
630	16575	9693
631	16600	9665
632	16639	9647
633	16663	9619
634	16689	9592
635	16717	9567
636	16740	9539
637	16764	9512
638	16788	9484
639	16812	9457
640	16837	9429
641	16861	9402
642	16885	9374
643	16908	9346
644	16930	9318
645	16953	9290
646	16984	9266
647	17007	9238
648	17029	9210
649	17053	9182
650	17077	9155
651	17099	9126
652	17127	9101
653	17149	9072
654	17172	9045
655	17208	9024
656	17233	8997
657	17258	8970
658	17279	8941
659	17301	8912
660	17323	8884
661	17347	8857
662	17370	8829
663	17400	8805
664	17428	8779
665	17455	8753
666	17481	8727
667	17508	8701
668	17533	8674
669	17561	8649
670	17586	8622
671	17611	8596
672	17635	8568
673	17659	8541
674	17686	8515
675	17710	8488
676	17734	8461
677	17757	8433
678	17780	8405
679	17803	8378
680	17829	8351
681	17852	8324
682	17874	8296
683	17909	8273
684	17931	8245
685	17958	8220
686	17982	8192
687	18004	8164
688	18026	8136
689	18047	8108
690	18068	8079
691	18092	8052
692	18114	8024
693	18139	7998
694	18163	7971
695	18185	7942
696	18206	7914
697	18229	7887
698	18253	7860
699	18277	7833
700	18298	7804
701	18320	7776
702	18343	7749
703	18371	7724
704	18401	7699
705	18519	7711
706	18569	7695
707	18681	7704
708	18799	7715
709	18852	7700
710	18876	7672
711	18900	7645
712	18923	7617
713	18949	7590
714	18977	7564
715	19001	7536
716	19023	7508
717	19050	7482
718	19079	7456
719	19107	7430
720	19134	7404
721	19158	7376
722	19182	7349
723	19207	7322
724	19233	7295
725	19256	7267
726	19279	7239
727	19304	7212
728	19326	7184
729	19353	7158
730	19376	7130
731	19400	7102
732	19422	7074
733	19448	7048
734	19477	7022
735	19505	6996
736	19534	6970
737	19564	6945
738	19603	6923
739	19636	6899
740	19665	6873
741	19698	6849
742	19726	6823
743	19761	6799
744	19797	6776
745	19826	6750
746	19855	6724
747	19883	6698
748	19915	6673
749	19937	6645
750	19960	6618
751	19983	6590
752	20005	6562
753	20031	6535
754	20056	6508
755	20097	6486
756	20123	6459
757	20149	6433
758	20175	6406
759	20205	6380
760	20230	6353
761	20255	6326
762	20278	6298
763	20300	6270
764	20325	6243
765	20351	6217
766	20378	6190
767	20405	6164
768	20431	6137
769	20457	6110
770	20481	6083
771	20505	6055
772	20535	6030
773	20561	6003
774	20589	5977
775	20617	5951
776	20645	5925
777	20676	5899
778	20701	5873
779	20725	5845
780	20748	5818
781	20772	5790
782	20810	5767
783	20833	5739
784	20858	5712
785	20880	5684
786	20904	5657
787	20928	5630
788	20966	5607
789	20995	5581
790	21031	5556
791	21060	5530
792	21089	5505
793	21124	5480
794	21153	5454
795	21180	5428
796	21205	5401
797	21238	5376
798	21265	5349
799	21288	5322
800	21312	5294
801	21335	5267
802	21366	5241
803	21406	5218
804	21436	5192
805	21464	5166
806	21491	5139
807	21519	5113
808	21543	5086
809	21567	5059
810	21594	5032
811	21623	5006
812	21665	4983
813	21696	4957
814	21725	4931
815	21756	4905
816	21782	4879
817	21811	4852
818	21841	4827
819	21870	4800
820	21902	4775
821	21933	4749
822	21959	4722
823	21987	4696
824	22012	4669
825	22040	4642
826	22065	4615
827	22093	4589
828	22116	4562
829	22140	4534
830	22178	4510
831	22208	4484
832	22241	4458
833	22275	4433
834	22304	4407
835	22332	4381
836	22361	4354
837	22387	4327
838	22414	4301
839	22445	4275
840	22475	4249
841	22506	4223
842	22533	4196
843	22562	4170
844	22588	4143
845	22617	4117
846	22648	4091
847	22675	4064
848	22701	4037
849	22742	4013
850	22775	3987
851	22803	3961
852	22830	3934
853	22856	3907
854	22883	3880
855	22910	3854
856	22934	3826
857	22959	3799
858	23070	3786
859	23115	3763
860	23140	3735
861	23167	3709
862	23196	3682
863	23253	3660
864	23284	3633
865	23307	3606
866	23336	3579
867	23360	3552
868	23386	3525
869	23412	3498
870	23437	3471
871	23465	3444
872	23497	3418
873	23525	3391
874	23551	3364
875	23583	3338
876	23616	3312
877	23645	3285
878	23676	3259
879	23707	3232
880	23737	3206
881	23769	3180
882	23794	3152
883	23819	3125
884	23845	3098
885	23870	3071
886	23899	3044
887	23927	3017
888	23953	2990
889	23977	2963
890	24001	2936
891	24032	2909
892	24059	2882
893	24089	2856
894	24138	2831
895	24179	2806
896	24215	2780
897	24246	2754
898	24279	2727
899	24322	2702
900	24357	2676
901	24387	2649
902	24417	2622
903	24451	2596
904	24481	2569
905	24512	2543
906	24541	2516
907	24568	2489
908	24595	2462
909	24626	2435
910	24653	2408
911	24680	2381
912	24726	2356
913	24757	2329
914	24782	2302
915	24808	2275
916	24835	2247
917	24862	2220
918	24889	2193
919	24913	2166
920	24936	2139
921	24959	2111
922	24982	2084
923	25005	2056
924	25030	2029
925	25053	2002
926	25076	1974
927	25099	1947
928	25122	1920
929	25145	1892
930	25175	1865
931	25199	1838
932	25222	1811
933	25246	1784
934	25270	1756
935	25294	1729
936	25325	1702
937	25349	1675
938	25377	1648
939	25404	1621
940	25446	1595
941	25472	1568
942	25495	1541
943	25521	1513
944	25543	1486
945	25566	1459
946	25594	1432
947	25617	1405
948	25639	1377
949	25663	1350
950	25687	1323
951	25712	1296
952	25739	1269
953	25761	1242
954	25784	1214
955	25806	1187
956	25828	1160
957	25849	1133
958	25873	1106
959	25896	1079
960	25918	1051
961	25942	1024
962	25964	997
963	25985	970
964	26010	943
965	26036	916
966	26059	889
967	26082	862
968	26104	835
969	26139	808
970	26164	781
971	26186	754
972	26209	727
973	26231	700
974	26253	673
975	26275	646
976	26304	619
977	26329	592
978	26355	565
979	26380	538
980	26405	511
981	26436	484
982	26461	457
983	26485	430
984	26510	403
985	26534	376
986	26562	349
987	26586	322
988	26610	295
989	26635	269
990	26657	242
991	26681	215
992	26708	188
993	26730	161
994	26754	134
995	26777	107
996	26799	80
997	26835	53
998	26860	26
999	26882	0
