Name,Address,Latitude,Longitude,rating,user_ratings_total,phone,website,price_level,Place ID,category
Sanborns,"Av. P.º de la Reforma 03, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",19.4281645,-99.1611849,4.3,,,,,ChIJ257tljP_0YURfeJmkbdRPq0,pharmacy
Woolworth,"Av. de los Insurgentes Sur 376, Roma Sur, Cuauhtémoc, 06760 Cuauthemoc, CDMX, Mexico",19.4102673,-99.166751,4.3,,,,,ChIJHT_f8j__0YURQRqQGsh_ayE,pharmacy
Mega Soriana Tlatelolco,"Calz. de la Ronda 88, Ex Hipódromo de Peralvillo, Cuauhtémoc, 06250 Ciudad de México, CDMX, Mexico",19.4558733,-99.1371677,3.8,,,,,ChIJ37hJQCT50YURlmh6MGMdnCY,pharmacy
Farmacia San Pablo Roma Norte,"Chihuahua 232-Local A, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",19.416358,-99.164856,3.7,,,,,ChIJLUmxAjn_0YURqFx8r7rq5Z0,pharmacy
Soriana Híper,"Av. Rio Consulado 2355, Amp Simón Bolívar, Venustiano Carranza, 15420 Ciudad de México, CDMX, Mexico",19.4486,-99.1006,3.8,,,,,ChIJc_rMi-L70YURx2BlQ6TZ6x0,pharmacy
Sanborns Aeropuerto,"Blvd. Puerto Aéreo 123, Moctezuma 2da Secc, Venustiano Carranza, 15530 Ciudad de México, CDMX, Mexico",19.4242124,-99.0945809,4.2,,,,,ChIJY9Rc0x380YUR_ECoHHuETkQ,pharmacy
Droguería del centro,"República de El Salvador 105, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",19.4291269,-99.1343168,4.4,,,,,ChIJJXGhFLf_0YURoyuItoIJ_eQ,pharmacy
Soriana Híper,"Calz de Guadalupe 192, Vallejo, Gustavo A. Madero, 07870 Ciudad de México, CDMX, Mexico",19.4652398,-99.1252773,3.9,,,,,ChIJbZdFFBP50YURVAinRnl-dqs,pharmacy
Sanborns Villa de Cortés,"Calz. de Tlalpan 744, Moderna, Benito Juárez, 03510 Ciudad de México, CDMX, Mexico",19.3919882,-99.1379518,4.2,,,,,ChIJqSQe2vv-0YURSrk4Y9Q3F7g,pharmacy
"Bodega Aurrera, Insurgentes Norte","Av. Insurgentes Nte. 1190, Capultitlan, Gustavo A. Madero, 07370 Ciudad de México, CDMX, Mexico",19.4763056,-99.1341173,4.2,,,,,ChIJm9uzkYH50YURznoEoMyNOfo,pharmacy
